Errors,Id,ProductCategoryId,ProductId
,0ZRal0000000gs5GAA,0ZGal0000000uOnGAI,01tal000000Vw2IAAS
,0ZRal0000000gs6GAA,0ZGal0000000uOnGAI,01tal000000Vw2HAAS
,0ZRal0000000gs7GAA,0ZGal0000000uOnGAI,01tal000000Vw2GAAS
,0ZRal0000000gs8GAA,0ZGal0000000uOnGAI,01tal000000Vw2MAAS
,0ZRal0000000gs9GAA,0ZGal0000000uOnGAI,01tal000000Vw2JAAS
,0ZRal0000000gsAGAQ,0ZGal0000000uOnGAI,01tal000000Vw2FAAS
,0ZRal0000000gsBGAQ,0ZGal0000000uOnGAI,01tal000000Vw2LAAS
,0ZRal0000000gsCGAQ,0ZGal0000000uOtGAI,01tal000000Vw23AAC
,0ZRal0000000gsDGAQ,0ZGal0000000uOtGAI,01tal000000Vw28AAC
,0ZRal0000000gsEGAQ,0ZGal0000000uOoGAI,01tal000000Vw2YAAS
,0ZRal0000000gsFGAQ,0ZGal0000000uOoGAI,01tal000000Vw2ZAAS
,0ZRal0000000gsGGAQ,0ZGal0000000uOpGAI,01tal000000Vw1zAAC
,0ZRal0000000gsHGAQ,0ZGal0000000uOpGAI,01tal000000Vw1yAAC
,0ZRal0000000gsIGAQ,0ZGal0000000uOpGAI,01tal000000Vw2SAAS
,0ZRal0000000gsJGAQ,0ZGal0000000uOpGAI,01tal000000Vw1xAAC
,0ZRal0000000gsKGAQ,0ZGal0000000uOpGAI,01tal000000Vw1wAAC
,0ZRal0000000gsLGAQ,0ZGal0000000uOpGAI,01tal000000Vw1vAAC
,0ZRal0000000gsMGAQ,0ZGal0000000uOpGAI,01tal000000Vw1uAAC
,0ZRal0000000gsNGAQ,0ZGal0000000uOpGAI,01tal000000Vw2UAAS
,0ZRal0000000gsOGAQ,0ZGal0000000uOpGAI,01tal000000Vw2TAAS
,0ZRal0000000gsPGAQ,0ZGal0000000uOpGAI,01tal000000Vw2XAAS
,0ZRal0000000gsQGAQ,0ZGal0000000uOpGAI,01tal000000Vw2WAAS
,0ZRal0000000gsRGAQ,0ZGal0000000uOpGAI,01tal000000Vw2VAAS
,0ZRal0000000gsSGAQ,0ZGal0000000uOsGAI,01tal000000Vw23AAC
,0ZRal0000000gsTGAQ,0ZGal0000000uOnGAI,01tal000000Vw1SAAS
,0ZRal0000000gsUGAQ,0ZGal0000000uOoGAI,01tal000000Vw1UAAS
,0ZRal0000000gsVGAQ,0ZGal0000000uOsGAI,01tal000000Vw28AAC
,0ZRal0000000gsWGAQ,0ZGal0000000uOrGAI,01tal000000Vw2cAAC
,0ZRal0000000gsXGAQ,0ZGal0000000uOrGAI,01tal000000Vw2bAAC
,0ZRal0000000gsYGAQ,0ZGal0000000uOnGAI,01tal000000Vw1gAAC
,0ZRal0000000gsZGAQ,0ZGal0000000uOoGAI,01tal000000Vw1hAAC
,0ZRal0000000gsaGAA,0ZGal0000000uOvGAI,01tal000000Vw1kAAC
,0ZRal0000000gsbGAA,0ZGal0000000uOvGAI,01tal000000Vw1PAAS
,0ZRal0000000gscGAA,0ZGal0000000uOxGAI,01tal000000Vw1bAAC
,0ZRal0000000gsdGAA,0ZGal0000000uOxGAI,01tal000000Vw1iAAC
,0ZRal0000000gseGAA,0ZGal0000000uOxGAI,01tal000000Vw1NAAS
,0ZRal0000000gsfGAA,0ZGal0000000uOxGAI,01tal000000Vw1OAAS
,0ZRal0000000gsgGAA,0ZGal0000000uOzGAI,01tal000000Vw1QAAS
,0ZRal0000000gshGAA,0ZGal0000000uOpGAI,01tal000000Vw1TAAS
,0ZRal0000000gsiGAA,0ZGal0000000uOzGAI,01tal000000Vw2eAAC
,0ZRal0000000gsjGAA,0ZGal0000000uOyGAI,01tal000000Vw1JAAS
,0ZRal0000000gskGAA,0ZGal0000000uOzGAI,01tal000000Vw2iAAC
,0ZRal0000000gslGAA,0ZGal0000000uOuGAI,01tal000000Vw1aAAC
,0ZRal0000000gsmGAA,0ZGal0000000uOuGAI,01tal000000Vw1jAAC
,0ZRal0000000gsnGAA,0ZGal0000000uOuGAI,01tal000000Vw1MAAS
,0ZRal0000000gsoGAA,0ZGal0000000uP0GAI,01tal000000Vw1LAAS
,0ZRal0000000gspGAA,0ZGal0000000uOwGAI,01tal000000Vw1ZAAS
,0ZRal0000000gsqGAA,0ZGal0000000uOwGAI,01tal000000Vw1XAAS
,0ZRal0000000gsrGAA,0ZGal0000000uOwGAI,01tal000000Vw1VAAS
,0ZRal0000000gssGAA,0ZGal0000000uOwGAI,01tal000000Vw1KAAS
