CurrencyIsoCode,Errors,Id,ProductCategoryId,ProductId
USD,,0ZR8N0000000ALJWA2,0ZG8N000000079PWAQ,01t8N000004chI8QAI
USD,,0ZR8N0000000ALKWA2,0ZG8N000000079DWAQ,01t8N000004chI9QAI
USD,,0ZR8N0000000ALLWA2,0ZG8N000000079DWAQ,01t8N000004chIAQAY
USD,,0ZR8N0000000ALMWA2,0ZG8N000000079DWAQ,01t8N000004chIBQAY
USD,,0ZR8N0000000ALNWA2,0ZG8N000000079DWAQ,01t8N000004chICQAY
USD,,0ZR8N0000000ALOWA2,0ZG8N000000079DWAQ,01t8N000004chIDQAY
USD,,0ZR8N0000000ALPWA2,0ZG8N000000079DWAQ,01t8N000004chIEQAY
USD,,0ZR8N0000000ALQWA2,0ZG8N000000079CWAQ,01t8N000004chIaQAI
USD,,0ZR8N0000000ALRWA2,0ZG8N000000079CWAQ,01t8N000004chIbQAI
USD,,0ZR8N0000000ALSWA2,0ZG8N000000079FWAQ,01t8N000004chIcQAI
USD,,0ZR8N0000000ALTWA2,0ZG8N000000079FWAQ,01t8N000004chIdQAI
USD,,0ZR8N0000000ALUWA2,0ZG8N000000079NWAQ,01t8N000004chIeQAI
USD,,0ZR8N0000000ALVWA2,0ZG8N000000079NWAQ,01t8N000004chIfQAI
USD,,0ZR8N0000000ALWWA2,0ZG8N000000079KWAQ,01t8N000004chIgQAI
USD,,0ZR8N0000000ALXWA2,0ZG8N000000079OWAQ,01t8N000004chIhQAI
USD,,0ZR8N0000000ALYWA2,0ZG8N000000079MWAQ,01t8N000004chIiQAI
USD,,0ZR8N0000000ALZWA2,0ZG8N000000079IWAQ,01t8N000004chIjQAI
USD,,0ZR8N0000000ALaWAM,0ZG8N000000079LWAQ,01t8N000004chIkQAI
USD,,0ZR8N0000000ALbWAM,0ZG8N000000079LWAQ,01t8N000004chIlQAI
USD,,0ZR8N0000000ALcWAM,0ZG8N000000079JWAQ,01t8N000004chImQAI
USD,,0ZR8N0000000ALdWAM,0ZG8N000000079NWAQ,01t8N000004chInQAI
USD,,0ZR8N0000000ALeWAM,0ZG8N000000079DWAQ,01t8N000004chIoQAI
USD,,0ZR8N0000000ALfWAM,0ZG8N000000079CWAQ,01t8N000004chIFQAY
USD,,0ZR8N0000000ALgWAM,0ZG8N000000079KWAQ,01t8N000004chIGQAY
USD,,0ZR8N0000000ALhWAM,0ZG8N000000079KWAQ,01t8N000004chIHQAY
USD,,0ZR8N0000000ALiWAM,0ZG8N000000079KWAQ,01t8N000004chIIQAY
USD,,0ZR8N0000000ALjWAM,0ZG8N000000079IWAQ,01t8N000004chIJQAY
USD,,0ZR8N0000000ALkWAM,0ZG8N000000079LWAQ,01t8N000004chIKQAY
USD,,0ZR8N0000000ALlWAM,0ZG8N000000079PWAQ,01t8N000004chILQAY
USD,,0ZR8N0000000ALmWAM,0ZG8N000000079CWAQ,01t8N000004chIMQAY
USD,,0ZR8N0000000ALnWAM,0ZG8N000000079LWAQ,01t8N000004chINQAY
USD,,0ZR8N0000000ALoWAM,0ZG8N000000079IWAQ,01t8N000004chIOQAY
USD,,0ZR8N0000000ALpWAM,0ZG8N000000079JWAQ,01t8N000004chIPQAY
USD,,0ZR8N0000000ALqWAM,0ZG8N000000079DWAQ,01t8N000004chIQQAY
USD,,0ZR8N0000000ALrWAM,0ZG8N000000079DWAQ,01t8N000004chIRQAY
USD,,0ZR8N0000000ALsWAM,0ZG8N000000079DWAQ,01t8N000004chISQAY
USD,,0ZR8N0000000ALtWAM,0ZG8N000000079DWAQ,01t8N000004chITQAY
USD,,0ZR8N0000000ALuWAM,0ZG8N000000079DWAQ,01t8N000004chIUQAY
USD,,0ZR8N0000000ALvWAM,0ZG8N000000079DWAQ,01t8N000004chIVQAY
USD,,0ZR8N0000000ALwWAM,0ZG8N000000079GWAQ,01t8N000004chIWQAY
USD,,0ZR8N0000000ALxWAM,0ZG8N000000079HWAQ,01t8N000004chIWQAY
USD,,0ZR8N0000000ALyWAM,0ZG8N000000079GWAQ,01t8N000004chIXQAY
USD,,0ZR8N0000000ALzWAM,0ZG8N000000079HWAQ,01t8N000004chIXQAY
USD,,0ZR8N0000000AM0WAM,0ZG8N000000079PWAQ,01t8N000004chIYQAY
USD,,0ZR8N0000000AM1WAM,0ZG8N000000079PWAQ,01t8N000004chIZQAY
USD,,0ZR8N0000000AM2WAM,0ZG8N000000079PWAQ,01t8N000004chJ9QAI
USD,,0ZR8N0000000AM3WAM,0ZG8N000000079PWAQ,01t8N000004chJAQAY
USD,,0ZR8N0000000AM4WAM,0ZG8N000000079PWAQ,01t8N000004chJBQAY
USD,,0ZR8N0000000AM5WAM,0ZG8N000000079PWAQ,01t8N000004chJCQAY
