AttributeCategoryId,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Errors,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassificationId,Sequence,Status
,0tj8N0000008QM5QAM,Connector_Type,C13 to C14,,,11C8N0000000001UAA,false,false,false,,,,,Connector Type,11B8N0000000001UAA,,Inactive
,0tj8N0000008QM8QAM,Length,3,,,11C8N0000000002UAA,false,false,false,,,,,Length,11B8N0000000001UAA,,Active
0v38N0000000004QAA,0tj8N0000008QM7QAM,API_Type,Flex,,,11C8N0000000003UAA,true,false,false,,,,,API Type,11B8N0000000002UAA,,Active
0v38N0000000001QAA,0tj8N0000008QM9QAM,Operating_System,Amazon Linux 2,,,11C8N0000000004UAA,false,false,false,,,,,Operating System,11B8N0000000003UAA,,Active
0v38N0000000002QAA,0tj8N0000008QM6QAM,Base_Core_Count,4,,,11C8N0000000005UAA,false,false,false,,,,,Base Core Count,11B8N0000000003UAA,,Active
0v38N0000000003QAA,0tj8N0000008QMAQA2,Server_Configuration,Security,,,11C8N0000000006UAA,false,false,false,,,,,Server_Configuration,11B8N0000000004UAA,,Active
0v38N0000000005QAA,0tj8N0000008QMCQA2,Processor_Frequency,3.2GHz,,,11C8N0000000007UAA,false,false,false,,,,,Processor_Frequency,11B8N0000000005UAA,,Active
0v38N0000000006QAA,0tj8N0000008QMHQA2,NIC_Type,Direct_Attach,,,11C8N0000000008UAA,false,false,false,,,,,NIC_Type,11B8N0000000006UAA,,Active
0v38N0000000007QAA,0tj8N0000008QMIQA2,HDD_Storage,1TB,,,11C8N0000000009UAA,false,false,false,,,,,HDD_Storage,11B8N0000000007UAA,,Active
0v38N0000000008QAA,0tj8N0000008QMFQA2,Memory_Config,Performance_Optimized,,,11C8N000000000AUAQ,false,false,false,,,,,Memory_Config,11B8N0000000008UAA,,Active
0v38N0000000008QAA,0tj8N0000008QMGQA2,Memory_Capacity,8GB,,,11C8N000000000BUAQ,false,false,false,,,,,Memory_Capacity,11B8N0000000008UAA,,Active
0v38N0000000009QAA,0tj8N0000008QMJQA2,Flows,1000,,,11C8N000000000CUAQ,true,false,false,,,,,Flows,11B8N0000000009UAA,,Active
0v38N0000000009QAA,0tj8N0000008QMKQA2,Messages_Million,60,,,11C8N000000000DUAQ,true,false,false,,,,,Messages (Million),11B8N0000000009UAA,,Active
0v38N0000000009QAA,0tj8N0000008QMLQA2,Data_Throughput_TB,0,,,11C8N000000000EUAQ,true,false,false,,,,,Data Throughput (TB),11B8N0000000009UAA,,Active
0v38N000000000AQAQ,0tj8N0000008QMDQA2,SubscriptionType,Evergreen,,,11C8N000000000FUAQ,false,false,false,,,,,SubscriptionType,11B8N000000000AUAQ,,Active
0v38N000000000BQAQ,0tj8N0000008QMMQA2,Notes_and_Assumptions,,,,11C8N000000000GUAQ,false,false,false,,,,,Notes_and_Assumptions,11B8N000000000BUAQ,,Active
0v38N000000000CQAQ,0tj8N0000008QMBQA2,Resource_Location,Onsite,,,11C8N000000000HUAQ,false,false,false,,,,,Resource_Location,11B8N000000000CUAQ,,Active
0v38N000000000CQAQ,0tj8N0000008QMEQA2,Engineering_Options,Extended_Care,,,11C8N000000000IUAQ,false,false,false,,,,,Engineering_Options,11B8N000000000CUAQ,,Active
